test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
08,N,8,35,blank,0.171875,NotFamousW1.png,1.3880000114440918,U,N
08,N,9,45,blank,0.25,Lady Gaga.jpg,1.5130000114440918,U,Y
08,N,9,34,blank,0.25,KlookAlike.jpg,0.9670000076293945,U,N
08,U,1,70,trump,0.25,Donald Trump.jpg,0,Y,Y
08,U,1,45,no,0.25,NotFamousM4.png,0,U,N
08,N,1,45,blank,0.06770833333333331,Barack Obama.jpg,1.186000108718872,U,Y
08,N,1,50,blank,0.06770833333333331,NotFamousLookAlike.jpg,0.9849998950958252,U,N
08,N,9,45,blank,0.06770833333333331,NotFamousW3.png,1.2170000076293945,U,N
08,N,1,60,blank,0.06770833333333331,Steve Jobs.jpg,0.9670000076293945,U,Y
08,N,9,30,blank,0.19791666666666666,Christina Aguilera.jpg,0.9829998016357422,U,Y
08,N,9,40,blank,0.19791666666666666,Beyonce Knowles.jpg,0.997999906539917,U,Y
08,N,1,35,blank,0.19791666666666666,NotFamousM5.png,1.6540000438690186,U,N
08,N,1,40,blank,0.19791666666666666,NotFamousM1.png,1.3570001125335693,U,N
08,N,1,40,blank,0.22395833333333334,NotFamousM3.png,1.4199998378753662,U,N
08,N,1,45,blank,0.22395833333333334,Jim Carrey.jpg,0.9679999351501465,U,Y
08,N,9,56,blank,0.22395833333333334,NotFamousW4.png,0.997999906539917,U,N
08,N,9,56,blank,0.22395833333333334,Oprah Winfrey.jpg,1.184999942779541,U,Y
09,U,3,30,not sure,0.25,Michael Jackson.jpg,0,U,Y
09,U,2,52,steve jobs,0.25,Steve Jobs.jpg,0,Y,Y
09,N,2,27,blank,0.25,NotFamousM1.png,0.5150001049041748,U,N
09,N,2,32,blank,0.25,maleNotFamouse.jpg,0.8110001087188721,U,N
09,N,9,48,blank,0.171875,Michelle Obama.jpg,0.5150001049041748,U,Y
09,N,8,28,blank,0.171875,NotFamousW5.png,1.4449999332427979,U,N
09,Y,1,47,barack obama,0.171875,Barack Obama.jpg,1.3259999752044678,Y,Y
09,N,8,25,blank,0.171875,NotFamousW1.png,0.7019999027252197,U,N
09,Y,1,35,elvis,0.09375,Elvis Presley.jpg,0.35899996757507324,Y,Y
